Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2025-09-07 10:10:45,false,"Treadmill Running","26.28","1,809","2:43","146","167","3.4","147","240","6:12","4:30","--","--","1.10","8.4","9.2","303","--","367","0.0","352","530","23,802","-27","No","00:01:36.5","27","02:41:19","02:42:54","--","--"
Running,2025-09-05 07:48:12,false,"Arlington County Running","6.45","573","0:38","160","183","3.6","147","161","5:46","4:25","90","77","1.17","8.0","9.4","294","5:34","430","0.0","401","585","5,468","-9","No","00:04:20.6","7","00:37:01","00:37:09","8","77"
Running,2025-09-04 07:20:14,false,"Arlington County Running","13.07","1,208","1:24","155","174","3.8","141","167","6:22","3:16","95","111","1.11","8.4","9.3","298","6:17","384","0.0","357","849","11,774","-21","No","00:00:49.2","14","01:18:49","01:23:14","4","76"
Running,2025-09-02 18:13:56,false,"Arlington County Running","6.46","516","0:38","138","166","2.8","151","161","5:46","3:31","78","83","1.15","8.4","9.6","303","5:42","407","0.0","399","618","5,572","-7","No","00:02:55.7","7","00:37:16","00:37:17","7","72"
Treadmill Running,2025-08-31 09:06:33,false,"Treadmill Running","25.15","1,709","2:39","146","160","3.4","147","225","6:17","5:01","--","--","1.09","8.5","9.2","305","--","361","0.0","347","455","23,018","-23","No","00:01:37.3","26","02:36:37","02:38:01","--","--"
Treadmill Running,2025-08-28 07:27:47,false,"Treadmill Running","6.44","498","0:40","142","157","2.5","153","163","6:09","5:01","--","--","1.07","8.7","9.3","303","--","361","0.0","358","467","6,004","-7","No","00:02:50.3","7","00:39:23","00:39:37","--","--"
Running,2025-08-27 07:16:14,false,"Arlington County Running","11.37","1,010","1:09","153","169","3.7","150","169","6:03","4:09","121","118","1.09","8.5","9.2","294","5:54","393","0.0","381","637","10,372","-19","No","00:02:02.5","12","01:08:03","01:08:59","2","83"
Treadmill Running,2025-08-26 07:38:41,false,"Treadmill Running","5.04","362","0:30","140","155","2.3","153","161","5:51","5:00","--","--","1.11","8.5","9.4","299","--","380","0.0","378","468","4,464","-7","No","00:00:11.5","6","00:29:27","00:29:28","--","--"
Running,2025-08-23 10:26:08,false,"Arlington County Running","15.06","1,370","1:37","157","174","4.2","140","202","6:25","4:13","100","126","1.10","8.4","9.2","307","6:21","367","0.0","347","559","13,628","-22","No","00:00:37.0","16","01:34:34","01:40:56","4","75"
Running,2025-08-21 18:34:09,false,"Arlington County Running","6.52","585","0:42","147","170","3.2","145","161","6:21","4:58","89","75","1.08","8.6","9.3","308","6:09","388","0.0","371","628","5,974","-8","No","00:03:49.3","7","00:40:55","00:41:22","13","80"
Running,2025-08-20 07:36:31,false,"Arlington County Running","11.52","1,048","1:13","154","174","3.9","146","165","6:19","4:00","106","102","1.08","8.6","9.2","306","6:14","377","0.0","362","562","10,614","-23","No","00:03:49.4","12","01:11:49","01:12:50","6","75"
Running,2025-08-19 07:17:50,false,"Arlington County Running","5.17","449","0:34","141","158","2.9","149","161","6:24","4:53","83","79","1.04","8.8","9.2","313","6:14","378","0.0","369","594","4,932","-11","No","00:01:12.8","6","00:33:01","00:33:09","9","76"
Treadmill Running,2025-08-17 16:34:08,false,"Treadmill Running","21.15","1,572","2:12","153","168","4.0","147","225","6:13","4:16","--","--","1.11","8.3","9.2","297","--","375","0.0","352","561","19,200","-17","No","00:02:46.4","22","02:07:02","02:11:37","--","--"
Running,2025-08-15 07:45:51,false,"Arlington County Running","5.11","460","0:33","151","173","3.1","146","163","6:24","3:14","60","78","1.06","8.6","9.1","310","6:19","371","0.0","356","753","4,764","-10","No","00:00:40.3","6","00:32:38","00:32:41","8","74"
Treadmill Running,2025-08-13 07:20:50,false,"Treadmill Running","9.09","739","0:58","149","166","3.2","146","225","6:20","4:21","--","--","1.08","8.4","9.1","308","--","356","0.0","342","531","8,340","-15","No","00:01:03.4","10","00:57:03","00:57:35","--","--"
